audio_relpath,transcript,label,score,speaker,synthesis
wav\bad_0002.wav,你怎么又这样！,bad,0.904,voice-3,windows-system-tts
wav\bad_0006.wav,现在你怎么又这样。,bad,0.875,voice-2,windows-system-tts
wav\neutral_0005.wav,请我现在在客厅好吗,neutral,0.441,voice-1,windows-system-tts
wav\bad_0028.wav,请闭嘴我受够了。,bad,0.866,voice-4,windows-system-tts
wav\neutral_0003.wav,今天晚饭吃什么,neutral,0.533,voice-4,windows-system-tts
wav\bad_0014.wav,现在你怎么又这样。,bad,0.842,voice-5,windows-system-tts
wav\bad_0000.wav,请为什么总是你行吗,bad,0.763,voice-1,windows-system-tts
wav\good_0020.wav,麻烦你谢谢你今天的帮助!!,good,0.229,voice-1,windows-system-tts
wav\neutral_0027.wav,拜托等一下再说行吗,neutral,0.505,voice-3,windows-system-tts
wav\bad_0010.wav,真的你怎么又这样。,bad,0.716,voice-1,windows-system-tts
wav\neutral_0024.wav,我知道了!!,neutral,0.519,voice-5,windows-system-tts
wav\bad_0004.wav,麻烦你你怎么又这样。,bad,0.83,voice-5,windows-system-tts
wav\bad_0018.wav,闭嘴我受够了行吗,bad,0.954,voice-4,windows-system-tts
wav\neutral_0026.wav,请我知道了！,neutral,0.466,voice-2,windows-system-tts
wav\neutral_0010.wav,请今天晚饭吃什么好吗,neutral,0.492,voice-1,windows-system-tts
wav\bad_0016.wav,拜托为什么总是你,bad,0.777,voice-2,windows-system-tts
wav\bad_0029.wav,请闭嘴我受够了。,bad,0.915,voice-5,windows-system-tts
wav\bad_0007.wav,真的为什么总是你好吗,bad,0.897,voice-3,windows-system-tts
wav\neutral_0029.wav,我知道了行吗,neutral,0.509,voice-5,windows-system-tts
wav\good_0017.wav,麻烦你谢谢你今天的帮助好吗,good,0.212,voice-3,windows-system-tts
wav\neutral_0028.wav,麻烦你等一下再说,neutral,0.57,voice-4,windows-system-tts
wav\good_0015.wav,请我们慢慢说，我在听好吗,good,0.313,voice-1,windows-system-tts
wav\neutral_0001.wav,真的等一下再说好吗,neutral,0.492,voice-2,windows-system-tts
wav\bad_0011.wav,请快点别废话。,bad,0.658,voice-2,windows-system-tts
